adult,budget,popularity,release_date,revenue,runtime,video,vote_average,vote_count,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752,10770,US_production_countries,GB_production_countries,JP_production_countries,FR_production_countries,CA_production_countries,DE_production_countries,KR_production_countries,other_production_countries,en_spoken_languages,es_spoken_languages,ja_spoken_languages,fr_spoken_languages,it_spoken_languages,de_spoken_languages,ko_spoken_languages,zh_spoken_languages,ru_spoken_languages,cn_spoken_languages,other_spoken_languages,en_original_language,es_original_language,fr_original_language,ja_original_language,ko_original_language,other_original_language,status_In Production,status_Planned,status_Post Production,status_Released,status_Rumored,homepage_bool
False,200000000,321.465,2021.0,726229501,143,False,7.2,6354,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,1,0,1,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,20000000,259.536,2023.0,54708659,100,False,6.397,1487,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,234.406,2023.0,0,105,False,7.65,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False
False,110000000,242.225,2022.0,402656846,122,False,7.592,3955,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,False,1,0,0,1,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,246.982,2023.0,0,97,False,6.4,25,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,0,255.649,2022.0,11426555,108,False,7.678,213,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,0,0,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False
False,170000000,221.473,2022.0,1488732821,131,False,8.29,6895,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,165000000,235.295,2022.0,1001978080,147,False,6.843,4858,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,72000000,237.727,2023.0,0,112,False,4.818,406,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
False,17000000,234.477,2022.0,3901839,93,False,6.951,82,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
