budget,popularity,revenue,runtime,vote_average,vote_count,release_date,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752,10770,homepage_bool
50000000,177.766,91000000,135,7.751,1493,2022.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,True
0,158.164,0,98,5.408,38,2022.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,True
0,176.726,0,102,6.536,473,2022.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,False
17000000,157.423,216135048,115,6.766,2049,2022.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True
0,160.991,0,88,5.978,68,2022.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,False
180000000,187.548,745013115,143,7.119,9552,2005.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
0,163.574,0,105,6.328,169,2023.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
0,169.139,0,102,6.7,10,2022.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,True
28000000,191.095,29637811,98,6.735,68,2023.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,281.176,0,96,6.9,65,2022.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,False
190000000,161.852,18879922,100,7.468,4191,2022.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
85000000,153.193,939628210,87,7.43,2851,2022.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
0,156.305,811467,96,5.906,32,2023.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,163.753,0,10,6.654,26,2011.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,276.968,0,85,7.9,15,2023.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,141.547,0,90,6.5,70,2022.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
0,210.6,0,88,6.091,33,1990.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
24000000,148.242,140041405,114,6.74,2445,2022.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True
170000000,141.082,772776600,121,7.904,26075,2014.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,176.297,0,98,6.279,462,2023.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
85000000,156.136,406000000,110,7.951,3704,2021.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
160000000,193.2,0,124,6.213,40,2023.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True
0,135.82,0,90,6.431,58,2022.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,159.5,0,112,6.454,742,2022.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True
1261569,158.032,0,91,7.3,308,2022.0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,False
0,144.664,0,98,5.787,326,2022.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
0,136.936,0,137,6.935,260,2023.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
150000000,161.116,432243292,132,7.611,8095,2021.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,150.25,0,87,7.035,1528,2022.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
32000000,178.535,3800000,129,7.91,39,2023.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
0,164.793,0,47,6.8,236,2022.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,True
0,136.984,0,100,5.0,4,2021.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,142.23,0,72,6.1,20,2023.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
0,130.51,0,90,6.955,11,2023.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
20000000,148.248,0,147,7.754,2729,2022.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True
3500000,196.346,10308238,105,4.932,96,2011.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,False
0,114.778,0,100,7.017,30,2022.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
50000000,141.925,108961677,126,7.896,1270,2022.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,120.445,0,93,4.954,152,2022.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
20000000,142.622,75734910,112,7.534,1432,2022.0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,True
23000000,168.019,4311284,126,7.149,379,2022.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,True
0,131.132,0,65,1.667,3,2022.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
0,129.461,0,80,4.7,13,2023.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,127.865,0,4,5.288,40,2022.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
35000000,143.223,0,117,8.22,2274,2022.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True
0,146.622,17288993,136,8.424,289,2022.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,True
100000000,156.22,0,0,0.0,0,2023.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,239.159,673556758,157,5.9,66,2023.0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,False
0,122.824,0,84,6.337,89,2023.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False
0,126.009,0,118,6.63,27,2023.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
125000000,134.239,976475550,152,7.914,24793,2001.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
20000000,131.355,88761661,101,7.409,17408,2014.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
110000000,141.606,506863592,97,6.864,8812,2021.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,134.865,1843824,96,6.149,84,2022.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True
0,115.095,0,95,7.1,15,2023.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
0,148.032,0,93,6.1,85,2009.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False
25000000,165.199,216639112,146,8.197,7290,2011.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,140.458,0,85,6.054,294,2023.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,True
50000000,137.603,104088441,106,7.3,420,2022.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,True
210000000,147.68,1104054072,165,5.91,7315,2014.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False
0,126.139,0,87,5.835,236,2022.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,False
0,142.998,0,98,6.833,60,2023.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True
0,125.406,1891519,104,5.603,73,2022.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,132.025,0,0,0.0,0,2013.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
0,139.805,0,106,6.582,158,2021.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,118.792,0,85,6.467,15,2023.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2500000,121.436,0,86,6.547,255,2022.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
0,106.092,0,0,8.037,27,2023.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
60000000,121.486,124600000,100,7.833,6617,2009.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
0,119.767,0,100,6.167,75,2022.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,True
0,129.312,0,120,6.943,836,2022.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
119,127.879,0,119,8.33,453,2022.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
5000000,109.741,5954938,88,5.7,789,2022.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True
0,155.89,0,112,6.583,12,2023.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
0,113.635,0,114,8.014,71,2022.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
150000000,130.694,530517320,113,6.218,6457,2018.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,129.65,0,94,6.209,79,2023.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
130178,127.059,0,0,0.0,0,2023.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
14000000,118.738,463406268,119,7.446,7155,1990.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False
0,121.724,56000000,93,6.791,1110,2022.0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
0,125.264,0,90,7.1,37,2019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
17500000,126.246,23438120,156,5.991,669,1979.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
60000000,143.012,487853320,90,7.724,15365,2001.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
0,119.249,0,70,4.9,5,2020.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
90000000,115.124,20000000,139,7.248,500,2022.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,True
90000000,125.879,239268602,126,7.493,4243,2022.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,True
0,107.997,0,90,6.551,98,2023.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False
0,111.879,0,93,5.8,196,2023.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
0,122.496,0,90,6.777,468,2022.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
0,111.461,0,90,6.277,47,2023.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
0,126.256,0,97,6.528,124,2023.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
