budget,popularity,revenue,runtime,vote_average
68000000,80.93,215863606,115,6.282
19000000,72.121,274925095,125,8.542
7000000,67.476,40343446,101,8.049
160000000,69.032,1148528393,143,6.9
0,82.141,42000000,105,7.21
0,64.999,0,107,6.647
100000000,64.655,121975011,113,7.2
0,64.248,0,74,7.123
0,66.169,0,125,6.761
87,58.478,0,87,4.75
0,69.917,0,6,7.093
0,67.513,0,99,6.711
200000000,70.3,220889446,127,7.442
0,81.27,23000000,137,7.1
8400000,64.054,27658331,120,6.9
140000000,82.832,585174222,126,7.633
0,67.771,0,80,5.0
200000000,70.664,66800000,115,6.915
0,66.688,0,101,5.167
175000000,73.128,735099082,96,7.945
180000000,75.276,411002906,131,6.867
80000000,65.148,271430189,102,6.355
35000000,65.234,0,117,7.502
105000000,78.178,270997378,98,7.2
150000000,99.662,449326618,115,6.766
2900000,77.67,263591415,74,7.035
200000000,73.124,1242805359,118,7.484
155000000,84.184,440603537,126,5.914
20000000,73.532,0,93,5.7
175000000,70.639,383925276,102,6.858
129000000,63.565,524580592,104,7.768
0,81.889,0,87,7.1
14000000,76.906,0,121,6.374
0,70.345,0,92,6.727
0,66.089,0,75,7.6
60000000,71.089,286801374,189,8.508
0,64.891,0,82,8.043
100000000,75.936,169327687,78,7.549
0,70.785,0,45,7.294
0,58.873,0,0,5.0
175000000,73.969,857611174,95,7.921
0,79.568,0,95,8.765
0,71.168,0,87,4.5
24000000,74.016,236049757,119,8.406
0,68.933,0,89,7.067
0,74.724,0,6,7.007
0,111.138,0,110,5.654
65000000,65.314,0,116,7.344
20000000,63.529,78378744,86,4.81
0,58.349,3129968,104,7.8
160000000,75.681,178143,118,6.796
75000000,73.077,191000000,124,7.498
0,62.342,150797338,115,7.487
23000000,69.767,17150803,93,6.517
0,68.052,0,102,6.875
0,68.96,0,0,6.7
0,73.141,0,145,7.5
116000000,64.347,856085151,112,6.829
10000000,73.315,17287898,121,7.836
0,58.758,0,123,6.0
55000000,61.01,378827494,118,6.496
150000000,68.125,1671537444,124,6.681
0,66.195,0,46,7.1
92000000,75.818,631442092,115,7.701
0,68.991,0,78,7.3
200000000,75.866,0,128,6.99
60000000,74.192,264118201,103,8.13
200000000,68.734,1066969703,103,7.79
0,72.819,0,112,7.415
130000000,65.429,631744560,90,7.228
94000000,75.338,940335536,100,7.823
0,108.102,0,69,6.233
40000000,56.378,97231420,111,6.432
100000,65.727,0,84,6.559
40000000,73.725,321834351,134,7.287
110000000,81.073,785896609,120,7.492
22000000,71.205,365582797,96,5.849
79000000,67.038,926287400,179,8.379
0,95.901,0,87,6.1
0,61.563,0,89,6.112
0,61.787,0,97,5.667
63000000,75.226,463517383,136,8.203
0,64.577,0,4,6.533
0,58.531,0,105,6.774
250000000,73.598,1153337496,147,7.439
0,60.075,0,92,5.9
